Opponent
Fall Camp Week 1
Fall Camp Week 2
Fall Camp Week 3
Fall Camp Week 4
Cincinnati
Akron
HCU
Michigan
Bye 1
Michigan State
Maryland
Minnesota
Northwestern
USC
UCLA
Bye 2
Penn State
Iowa
